Class ID,Course Code,Status,Capacity,Count,Course Title,Section,Faculty,Type,Day,Start Time,End Time,Room,Department
01384,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [W],W,-,Theory,Tuesday,3:00 PM,5:00 PM,9207,FACULTY OF SCIENCE & TECHNOLOGY
01384,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [W],W,-,Lab,Sunday,3:00 PM,5:20 PM,DS0108,FACULTY OF SCIENCE & TECHNOLOGY
01385,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [X],X,-,Theory,Monday,8:00 AM,10:00 AM,9412,FACULTY OF SCIENCE & TECHNOLOGY
01385,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [X],X,-,Lab,Wednesday,8:00 AM,10:20 AM,DS0108,FACULTY OF SCIENCE & TECHNOLOGY
01386,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [Y],Y,-,Theory,Wednesday,12:40 PM,2:40 PM,9208,FACULTY OF SCIENCE & TECHNOLOGY
01386,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [Y],Y,-,Lab,Monday,12:40 PM,3:00 PM,DS0206,FACULTY OF SCIENCE & TECHNOLOGY
01387,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [Z],Z,-,Theory,Monday,10:20 AM,12:20 PM,9206,FACULTY OF SCIENCE & TECHNOLOGY
01387,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [Z],Z,-,Lab,Wednesday,10:20 AM,12:40 PM,DS0204,FACULTY OF SCIENCE & TECHNOLOGY
01388,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [AA],AA,-,Theory,Wednesday,12:40 PM,2:40 PM,9209,FACULTY OF SCIENCE & TECHNOLOGY
01388,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [AA],AA,-,Lab,Monday,12:40 PM,3:00 PM,DS0207,FACULTY OF SCIENCE & TECHNOLOGY
01389,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [BB],BB,-,Theory,Wednesday,10:20 AM,12:20 PM,9405,FACULTY OF SCIENCE & TECHNOLOGY
01389,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [BB],BB,-,Lab,Monday,10:20 AM,12:40 PM,DS0105,FACULTY OF SCIENCE & TECHNOLOGY
01390,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [CC],CC,-,Theory,Tuesday,8:00 AM,10:00 AM,9206,FACULTY OF SCIENCE & TECHNOLOGY
01390,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [CC],CC,-,Lab,Thursday,8:00 AM,10:20 AM,DS0206,FACULTY OF SCIENCE & TECHNOLOGY
01391,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [DD],DD,-,Theory,Tuesday,12:40 PM,2:40 PM,9206,FACULTY OF SCIENCE & TECHNOLOGY
01391,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [DD],DD,-,Lab,Thursday,12:40 PM,3:00 PM,DS0205,FACULTY OF SCIENCE & TECHNOLOGY
01392,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [EE],EE,-,Theory,Wednesday,3:00 PM,5:00 PM,9206,FACULTY OF SCIENCE & TECHNOLOGY
01392,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [EE],EE,-,Lab,Thursday,3:00 PM,5:20 PM,DN0109,FACULTY OF SCIENCE & TECHNOLOGY
01393,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [FF],FF,-,Theory,Tuesday,3:00 PM,5:00 PM,9206,FACULTY OF SCIENCE & TECHNOLOGY
